time,buy_usd,sell_usd
2025-05-05 15:48:30,46785.864619,21841.627326
2025-05-05 15:49:00,70137.852266,92626.406682
2025-05-05 15:49:30,56479.130178,37434.331264
2025-05-05 15:50:00,28881.574007,162868.196385
2025-05-05 15:50:30,72616.141336,46404.400107
2025-05-05 15:51:00,104655.881475,141850.504439
2025-05-05 15:51:30,39693.700426,75197.889368
2025-05-05 15:52:00,69616.530401,89068.087862
2025-05-05 15:52:30,59318.689134,96181.111582
2025-05-05 15:53:00,139966.03536,48248.142634
2025-05-05 15:53:30,65874.983786,53426.164992
2025-05-05 15:54:00,124801.382778,49714.794899
2025-05-05 15:54:30,58141.295823,32768.03024
2025-05-05 15:55:00,100226.924505,264648.920494
2025-05-05 15:55:30,365321.130727,329658.733986
2025-05-05 15:56:00,98907.005343,249804.095526
2025-05-05 15:56:30,72933.847665,25604.748131
2025-05-05 15:57:00,66388.612679,99004.286075
2025-05-05 15:57:30,167194.1037,148168.932879
2025-05-05 15:58:00,37543.361106,39256.632328
2025-05-05 15:58:30,88071.12169,43712.341193
2025-05-05 15:59:00,32724.459369,67012.606347
2025-05-05 15:59:30,5125.330043,38958.904057
2025-05-05 16:00:00,143626.38553,86995.691318
2025-05-05 16:00:30,33430.901926,25610.470954
2025-05-05 16:01:00,61847.209133,75763.737237
2025-05-05 16:01:30,22687.419328,43777.026434
2025-05-05 16:02:00,160307.837353,111163.526149
2025-05-05 16:02:30,310678.646642,291811.985926
2025-05-05 16:03:00,55489.039659,65944.382235
2025-05-05 16:03:30,55134.942941,151272.443054
2025-05-05 16:04:00,15857.522979,57532.364295
2025-05-05 16:04:30,64188.02332,25180.655094
2025-05-05 16:05:00,60260.276598,123990.377092
2025-05-05 16:05:30,50633.219413,78458.989294
2025-05-05 16:06:00,63989.171779,51099.622406
2025-05-05 16:06:30,63681.531927,125553.102493
2025-05-05 16:07:00,29883.388474,101738.640804
2025-05-05 16:07:30,50783.192701,31986.858102
2025-05-05 16:08:00,100665.549326,64382.680975
2025-05-05 16:08:30,60345.108154,63107.322734
2025-05-05 16:09:00,37322.095197,20975.568988
2025-05-05 16:09:30,45028.943815,71357.265621
2025-05-05 16:10:00,75410.494147,62190.008783
2025-05-05 16:10:30,299034.137911,216610.718735
2025-05-05 16:11:00,46716.904955,115120.21887
2025-05-05 16:11:30,71386.364474,129035.304744
2025-05-05 16:12:00,80941.609103,76789.064482
2025-05-05 16:12:30,50956.528554,12712.545974
2025-05-05 16:13:00,156378.166141,15402.511641
2025-05-05 16:13:30,22097.530281,11756.049136
2025-05-05 16:14:00,58692.170533,74740.959396
2025-05-05 16:14:30,98482.293905,97617.051469
2025-05-05 16:15:00,153238.216515,202018.443846
2025-05-05 16:15:30,55589.807807,112727.620087
2025-05-05 16:16:00,279085.70081,110694.044192
2025-05-05 16:16:30,85907.084704,79452.57462
2025-05-05 16:17:00,150507.882904,61807.453025
2025-05-05 16:17:30,174476.309219,67026.272573
2025-05-05 16:18:00,91733.204689,103382.898772
2025-05-05 16:18:30,60948.87305,66653.304725
2025-05-05 16:19:00,56623.050742,106995.193613
2025-05-05 16:19:30,45497.487274,38368.524555
2025-05-05 16:20:00,146880.829131,217175.661473
2025-05-05 16:20:30,102083.323911,69894.744895
2025-05-05 16:21:00,113715.016995,82072.076119
2025-05-05 16:21:30,86006.324333,69767.166509
2025-05-05 16:22:00,126107.453453,177298.259208
2025-05-05 16:22:30,50682.339828,71901.143914
